"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","MFP","TOT","AGRWTH","A","1985",-0.608898,
"AUS","MFP","TOT","AGRWTH","A","1986",-0.734322,
"AUS","MFP","TOT","AGRWTH","A","1987",1.597102,
"AUS","MFP","TOT","AGRWTH","A","1988",-0.698363,
"AUS","MFP","TOT","AGRWTH","A","1989",-0.301992,
"AUS","MFP","TOT","AGRWTH","A","1990",-0.244388,
"AUS","MFP","TOT","AGRWTH","A","1991",0.711499,
"AUS","MFP","TOT","AGRWTH","A","1992",2.281571,
"AUS","MFP","TOT","AGRWTH","A","1993",0.361093,
"AUS","MFP","TOT","AGRWTH","A","1994",0.152031,
"AUS","MFP","TOT","AGRWTH","A","1995",2.012589,
"AUS","MFP","TOT","AGRWTH","A","1996",2.31692,
"AUS","MFP","TOT","AGRWTH","A","1997",2.32282,
"AUS","MFP","TOT","AGRWTH","A","1998",2.352151,
"AUS","MFP","TOT","AGRWTH","A","1999",0.383388,
"AUS","MFP","TOT","AGRWTH","A","2000",0.10578,
"AUS","MFP","TOT","AGRWTH","A","2001",2.382146,
"AUS","MFP","TOT","AGRWTH","A","2002",0.558305,
"AUS","MFP","TOT","AGRWTH","A","2003",1.445461,
"AUS","MFP","TOT","AGRWTH","A","2004",-0.806246,
"AUS","MFP","TOT","AGRWTH","A","2005",-0.540518,
"AUS","MFP","TOT","AGRWTH","A","2006",-0.091982,
"AUS","MFP","TOT","AGRWTH","A","2007",0.136008,
"AUS","MFP","TOT","AGRWTH","A","2008",1.436657,
"AUS","MFP","TOT","AGRWTH","A","2009",-1.438855,
"AUS","MFP","TOT","AGRWTH","A","2010",0.309041,
"AUS","MFP","TOT","AGRWTH","A","2011",0.223154,
"AUS","MFP","TOT","AGRWTH","A","2012",0.799518,
"AUS","MFP","TOT","AGRWTH","A","2013",0.687472,
"AUS","MFP","TOT","AGRWTH","A","2014",-0.081386,
"AUS","MFP","TOT","AGRWTH","A","2015",1.803483,
"AUS","MFP","TOT","AGRWTH","A","2016",-0.193811,
"AUS","MFP","TOT","AGRWTH","A","2017",0.913295,
"AUS","MFP","TOT","AGRWTH","A","2018",-0.013549,
"AUS","MFP","TOT","AGRWTH","A","2019",0.319443,
"AUS","MFP","TOT","AGRWTH","A","2020",1.416806,
"AUS","MFP","TOT","AGRWTH","A","2021",1.046465,
"AUS","MFP","TOT","AGRWTH","A","2022",-0.590889,
"AUT","MFP","TOT","AGRWTH","A","1989",2.267096,
"AUT","MFP","TOT","AGRWTH","A","1990",2.067615,
"AUT","MFP","TOT","AGRWTH","A","1991",1.732464,
"AUT","MFP","TOT","AGRWTH","A","1992",1.160581,
"AUT","MFP","TOT","AGRWTH","A","1993",1.373337,
"AUT","MFP","TOT","AGRWTH","A","1994",2.784615,
"AUT","MFP","TOT","AGRWTH","A","1995",5.509766,
"AUT","MFP","TOT","AGRWTH","A","1996",-0.21652,
"AUT","MFP","TOT","AGRWTH","A","1997",0.282247,
"AUT","MFP","TOT","AGRWTH","A","1998",2.578224,
"AUT","MFP","TOT","AGRWTH","A","1999",1.034816,
"AUT","MFP","TOT","AGRWTH","A","2000",1.310812,
"AUT","MFP","TOT","AGRWTH","A","2001",-0.049632,
"AUT","MFP","TOT","AGRWTH","A","2002",0.660831,
"AUT","MFP","TOT","AGRWTH","A","2003",-0.238772,
"AUT","MFP","TOT","AGRWTH","A","2004",1.254694,
"AUT","MFP","TOT","AGRWTH","A","2005",1.594904,
"AUT","MFP","TOT","AGRWTH","A","2006",2.096448,
"AUT","MFP","TOT","AGRWTH","A","2007",1.983446,
"AUT","MFP","TOT","AGRWTH","A","2008",-0.449148,
"AUT","MFP","TOT","AGRWTH","A","2009",-2.158139,
"AUT","MFP","TOT","AGRWTH","A","2010",0.979406,
"AUT","MFP","TOT","AGRWTH","A","2011",0.67215,
"AUT","MFP","TOT","AGRWTH","A","2012",0.26644,
"AUT","MFP","TOT","AGRWTH","A","2013",-0.302731,
"AUT","MFP","TOT","AGRWTH","A","2014",-0.178094,
"AUT","MFP","TOT","AGRWTH","A","2015",0.619999,
"AUT","MFP","TOT","AGRWTH","A","2016",-0.321359,
"AUT","MFP","TOT","AGRWTH","A","2017",0.735042,
"AUT","MFP","TOT","AGRWTH","A","2018",0.143986,
"AUT","MFP","TOT","AGRWTH","A","2019",-0.648598,
"AUT","MFP","TOT","AGRWTH","A","2020",-0.735889,
"AUT","MFP","TOT","AGRWTH","A","2021",0.215203,
"AUT","MFP","TOT","AGRWTH","A","2022",1.986014,
"BEL","MFP","TOT","AGRWTH","A","1985",-0.237723,
"BEL","MFP","TOT","AGRWTH","A","1986",0.83396,
"BEL","MFP","TOT","AGRWTH","A","1987",1.138474,
"BEL","MFP","TOT","AGRWTH","A","1988",2.398104,
"BEL","MFP","TOT","AGRWTH","A","1989",1.175312,
"BEL","MFP","TOT","AGRWTH","A","1990",0.140375,
"BEL","MFP","TOT","AGRWTH","A","1991",1.899027,
"BEL","MFP","TOT","AGRWTH","A","1992",1.408106,
"BEL","MFP","TOT","AGRWTH","A","1993",0.226319,
"BEL","MFP","TOT","AGRWTH","A","1994",2.198265,
"BEL","MFP","TOT","AGRWTH","A","1995",-0.69192,
"BEL","MFP","TOT","AGRWTH","A","1996",-0.235807,
"BEL","MFP","TOT","AGRWTH","A","1997",1.49073,
"BEL","MFP","TOT","AGRWTH","A","1998",-0.382966,
"BEL","MFP","TOT","AGRWTH","A","1999",0.998737,
"BEL","MFP","TOT","AGRWTH","A","2000",-0.019629,
"BEL","MFP","TOT","AGRWTH","A","2001",-1.092892,
"BEL","MFP","TOT","AGRWTH","A","2002",-0.331079,
"BEL","MFP","TOT","AGRWTH","A","2003",-0.211182,
"BEL","MFP","TOT","AGRWTH","A","2004",2.138746,
"BEL","MFP","TOT","AGRWTH","A","2005",0.511494,
"BEL","MFP","TOT","AGRWTH","A","2006",-0.072721,
"BEL","MFP","TOT","AGRWTH","A","2007",1.10651,
"BEL","MFP","TOT","AGRWTH","A","2008",-1.462103,
"BEL","MFP","TOT","AGRWTH","A","2009",-1.879067,
"BEL","MFP","TOT","AGRWTH","A","2010",1.032413,
"BEL","MFP","TOT","AGRWTH","A","2011",-0.927043,
"BEL","MFP","TOT","AGRWTH","A","2012",-0.162732,
"BEL","MFP","TOT","AGRWTH","A","2013",0.15583,
"BEL","MFP","TOT","AGRWTH","A","2014",0.78391,
"BEL","MFP","TOT","AGRWTH","A","2015",0.914313,
"BEL","MFP","TOT","AGRWTH","A","2016",-0.367158,
"BEL","MFP","TOT","AGRWTH","A","2017",-0.488399,
"BEL","MFP","TOT","AGRWTH","A","2018",-0.125008,
"BEL","MFP","TOT","AGRWTH","A","2019",0.381538,
"BEL","MFP","TOT","AGRWTH","A","2020",0.19754,
"BEL","MFP","TOT","AGRWTH","A","2021",0.108941,
"BEL","MFP","TOT","AGRWTH","A","2022",1.111391,
"CAN","MFP","TOT","AGRWTH","A","1985",0.817584,
"CAN","MFP","TOT","AGRWTH","A","1986",-1.007091,
"CAN","MFP","TOT","AGRWTH","A","1987",0.424196,
