LOCATION,TIME,Value,Change of Value(%)
AUS,2006,775886.237,7.838806070062894
AUS,2007,826594.305,6.5355029618859035
AUS,2008,852737.657,3.1627791096383073
AUS,2009,903956.56,6.0064080177005765
AUS,2010,943323.0,4.35490395688925
AUS,2011,992802.546,5.245239011452067
AUS,2012,997651.363,0.48839691432459714
AUS,2013,1104672.434,10.727301637536065
AUS,2014,1117601.897,1.1704341125977824
AUS,2015,1124752.51,0.6398175431872853
AUS,2016,1212854.276,7.83299127734332
AUS,2017,1247085.553,2.8223734439800086
AUS,2018,1323863.624,6.156600147864915
AUS,2019,1337588.806,1.0367519547466642
AUS,2020,1430866.404,6.973562994964238
AUS,2021,1595112.956,11.478818116132098
AUS,2022,1784017.42,11.842701376691714
AUT,2006,311394.8,8.090646399176974
AUT,2007,327137.69,5.055604653642262
AUT,2008,343812.976,5.097329506728504
AUT,2009,341396.516,-0.7028414192255562
AUT,2010,351323.808,2.9078480695450377
AUT,2011,373031.477,6.178820935471585
AUT,2012,391635.176,4.987166002615903
AUT,2013,406370.245,3.7624477838017336
AUT,2014,417059.519,2.6304273335760535
AUT,2015,430975.924,3.3367911211732895
AUT,2016,460282.647,6.800083570329557
AUT,2017,476590.588,3.543027551938101
AUT,2018,503361.417,5.617154361428562
AUT,2019,530139.203,5.319793113980359
AUT,2020,510361.633,-3.7306371398457037
AUT,2021,535814.997,4.987319256422241
AUT,2022,613714.889,14.53858000170906
BEL,2006,371888.473,6.9694939865964205
BEL,2007,390981.666,5.13411799133662
BEL,2008,405729.43,3.7719835180199897
BEL,2009,407566.641,0.45281679468014197
BEL,2010,434058.868,6.500096998861104
BEL,2011,451932.625,4.117818645741845
BEL,2012,469720.336,3.9359209793716508
BEL,2013,487343.796,3.7519048355615503
BEL,2014,503619.623,3.3397012814337845
BEL,2015,520877.807,3.4268291408494123
BEL,2016,550677.566,5.721065209445567
BEL,2017,573788.528,4.1968228645798975
BEL,2018,600269.926,4.615184289637789
BEL,2019,641140.489,6.80869742589769
BEL,2020,630920.981,-1.5939576700169868
BEL,2021,689479.057,9.281364507356587
BEL,2022,765169.283,10.977886163698228
CAN,2006,1241618.911,5.999858220519213
CAN,2007,1301593.852,4.8303823716486445
CAN,2008,1342396.613,3.1348304954962205
CAN,2009,1307000.658,-2.6367732648622115
CAN,2010,1363578.975,4.328866757158131
CAN,2011,1430807.125,4.930271823823031
CAN,2012,1468094.965,2.6060703325055137
CAN,2013,1554122.745,5.859823924946165
CAN,2014,1621396.709,4.328742000362392
CAN,2015,1594850.842,-1.637222208029046
CAN,2016,1678093.396,5.219457005497195
CAN,2017,1765763.154,5.224367023252391
CAN,2018,1852987.755,4.939767873307871
CAN,2019,1873760.081,1.12101798535631
CAN,2020,1794940.001,-4.20651932972843
CAN,2021,2026899.115,12.9229452723083
CAN,2022,2271469.345,12.06622609828315
CZE,2006,244936.694,8.561229561562417
CZE,2007,270711.922,10.523220338721496
CZE,2008,290503.947,7.31110209472044
CZE,2009,289942.416,-0.1932954804224946
CZE,2010,292032.224,0.7207665676621666
CZE,2011,304400.914,4.235385338845347
CZE,2012,307490.199,1.0148737595446355
CZE,2013,324029.978,5.378961363253071
CZE,2014,342099.837,5.576601002022102
CZE,2015,357503.881,4.502791972976004
CZE,2016,381420.335,6.689844578218726
CZE,2017,411327.86,7.841093474997855
CZE,2018,437355.916,6.327812562951618
CZE,2019,471832.671,7.882997288643042
CZE,2020,458157.819,-2.898241864222233
CZE,2021,479378.76,4.63179719301047
CZE,2022,525014.413,9.519748643014541
DNK,2006,202984.122,9.67699995957304
DNK,2007,213056.909,4.962352178462516
DNK,2008,226767.494,6.435175026405734
DNK,2009,222756.489,-1.768774231812962
DNK,2010,238555.117,7.092331213749737
DNK,2011,247352.237,3.6876677015483996
DNK,2012,250524.599,1.2825281220318998
DNK,2013,262368.12,4.727488257550313
DNK,2014,270330.607,3.034853091145381
DNK,2015,278748.365,3.1138753001061295
DNK,2016,297719.06,6.805670411734974
DNK,2017,319130.165,7.191714564730918
DNK,2018,333035.355,4.357215808790749
DNK,2019,348345.911,4.597276466337949
DNK,2020,354277.793,1.702871144079536
DNK,2021,387053.183,9.251324990612668
DNK,2022,442119.714,14.227122632912168
FIN,2006,181438.129,7.904628405164618
FIN,2007,200141.702,10.30851293666063
FIN,2008,212980.742,6.414974926115103
FIN,2009,202731.154,-4.8124482541243045
FIN,2010,208926.59,3.05598615593141
FIN,2011,220471.171,5.525663822876736
FIN,2012,221285.636,0.369420181471253
FIN,2013,225679.983,1.9858256863992785
FIN,2014,228058.636,1.0539937873001306
FIN,2015,232867.602,2.1086533201926256
FIN,2016,246928.493,6.038148234978592
FIN,2017,262026.563,6.114349063799619
FIN,2018,273455.993,4.3619356255877095
FIN,2019,286082.927,4.617537857361937
FIN,2020,289224.32,1.098070770228096
FIN,2021,303527.426,4.945333089554838
FIN,2022,330422.255,8.860757446017425
FRA,2006,2065560.669,7.1971402625493015
FRA,2007,2184595.05,5.762812140377748
FRA,2008,2259255.844,3.4176033677271325
FRA,2009,2243937.742,-0.6780153757566182
FRA,2010,2334557.742,4.0384364638936585
FRA,2011,2446474.544,4.7939187789855975
FRA,2012,2474005.287,1.1253230926730535
FRA,2013,2608523.504,5.437264734511466
FRA,2014,2662032.873,2.0513278457313815
FRA,2015,2718495.127,2.1210201636754813
FRA,2016,2864105.631,5.356290785802839
FRA,2017,2983010.673,4.151559241147273
FRA,2018,3125379.86,4.7726677040957375
FRA,2019,3403158.941,8.887850227588023
FRA,2020,3262896.418,-4.121539000431894
FRA,2021,3481611.03,6.703081679009025
FRA,2022,3764758.779,8.132664636003302
DEU,2006,2813824.86,7.314345794968971
DEU,2007,2985617.276,6.105298820908143
DEU,2008,3103958.247,3.963701977185367
DEU,2009,3015332.321,-2.8552550951887845
DEU,2010,3185267.891,5.635716130407898
DEU,2011,3415019.966,7.21295925059134
DEU,2012,3487234.448,2.1146137568438403
DEU,2013,3628559.337,4.05263514992669
DEU,2014,3807114.521,4.9208285552696855
DEU,2015,3889081.896,2.1530052365871555
DEU,2016,4165169.905,7.09905361684365
DEU,2017,4386729.188,5.319333617916369
DEU,2018,4576056.532,4.315911374650365
DEU,2019,4770495.488,4.249050566580724
DEU,2020,4694786.155,-1.5870329023566543
DEU,2021,4913166.143,4.651542813455364
DEU,2022,5323008.116,8.341707995849475
GRC,2006,314601.571,11.946541871875464
GRC,2007,323985.185,2.9826977564584385
GRC,2008,341817.829,5.504154148283055
GRC,2009,337203.102,-1.3500545052025397
GRC,2010,310415.31,-7.944111973204806
GRC,2011,285079.561,-8.161887698129327
GRC,2012,275143.683,-3.485300021210559
GRC,2013,284949.076,3.563735461082703
GRC,2014,290011.379,1.7765641043875553
GRC,2015,289570.644,-0.15197162315484325
GRC,2016,296466.614,2.381446511546257
GRC,2017,307636.013,3.7675065159276167
GRC,2018,317881.481,3.330386420006052
GRC,2019,334040.54,5.083359668882362
GRC,2020,304016.729,-8.988074022392608
GRC,2021,333014.632,9.538258994951555
GRC,2022,389216.529,16.876704985143114
HUN,2006,185137.549,7.280750220034498
HUN,2007,192032.269,3.7241067720951633
HUN,2008,208006.337,8.31842902403033
HUN,2009,207698.243,-0.14811760278246325
HUN,2010,217415.959,4.678766589277318
HUN,2011,229643.36,5.623966638070015
HUN,2012,230821.511,0.5130350818765291
HUN,2013,242855.184,5.213410547338463
HUN,2014,253484.632,4.376866832704713
HUN,2015,263781.873,4.062274276256719
HUN,2016,274222.712,3.9581336205008966
HUN,2017,288707.448,5.282106611213142
HUN,2018,311927.137,8.042635948900083
HUN,2019,338526.704,8.527493714020798
HUN,2020,333161.834,-1.5847701042810654
HUN,2021,356701.68,7.065589031425497
HUN,2022,402509.611,12.84208445555961
ISL,2006,12059.466,8.889811092191504
ISL,2007,12920.229,7.1376543538494905
ISL,2008,13879.916,7.427786303168465
ISL,2009,13333.839,-3.9342961441553346
ISL,2010,12649.529,-5.132130363955943
ISL,2011,13059.434,3.240476384535731
ISL,2012,13471.498,3.1552975419914855
ISL,2013,14378.252,6.730906985993695
ISL,2014,15058.764,4.7329258104531675
ISL,2015,16276.45,8.086228059620309
ISL,2016,17939.411,10.216976060504589
ISL,2017,19106.258,6.504377429114042
ISL,2018,20174.854,5.5929109718920245
ISL,2019,21507.881,6.607368757166728
ISL,2020,19912.086,-7.419582617181124
ISL,2021,21715.673,9.05775015234466
ISL,2022,26593.332,22.461468267642452
IRL,2006,189018.885,12.286613705828167
IRL,2007,205779.814,8.867330372835498
IRL,2008,198299.13,-3.635285626217938
IRL,2009,188088.826,-5.14894039121604
IRL,2010,197036.295,4.757044419002335
IRL,2011,206639.608,4.873880215825208
IRL,2012,212883.421,3.021595453278248
IRL,2013,221005.187,3.8151237714279325
IRL,2014,238656.914,7.987019327288451
IRL,2015,325443.078,36.36440384040162
IRL,2016,339580.36,4.344010659830352
IRL,2017,375788.611,10.66264580201281
IRL,2018,413324.138,9.988468490334318
IRL,2019,442259.298,7.000597676199601
IRL,2020,471371.126,6.582524806521983
IRL,2021,546184.137,15.871360563565787
IRL,2022,650316.274,19.06539021289811
ITA,2006,1886859.551,8.026839379573822
ITA,2007,1995406.894,5.752804597590322
ITA,2008,2089717.307,4.726375020732986
ITA,2009,2044893.204,-2.1449840535775455
ITA,2010,2083996.379,1.9122355594664124
ITA,2011,2173169.961,4.278970102759482
ITA,2012,2172383.108,-0.03620761441217617
ITA,2013,2187376.607,0.6901866869054957
ITA,2014,2200256.409,0.5888241630994155
ITA,2015,2240922.483,1.8482424972679639
ITA,2016,2420672.141,8.021234976381814
ITA,2017,2517184.468,3.9870053182885807
ITA,2018,2600326.872,3.3029920952142193
ITA,2019,2735577.365,5.201288132517528
ITA,2020,2564795.429,-6.242994191465692
ITA,2021,2814257.328,9.726385823186844
ITA,2022,3112290.717,10.59012571575331
JPN,2006,4300322.188,4.619497658383079
JPN,2007,4482081.29,4.2266391692045
JPN,2008,4517267.524,0.7850422989539346
JPN,2009,4295628.986,-4.906473588788952
JPN,2010,4525401.306,5.3489796430012335
JPN,2011,4629400.467,2.2981201879734536
JPN,2012,4799612.88,3.676770117714677
JPN,2013,5021591.104,4.624919333077554
JPN,2014,5034454.619,0.25616412673969213
JPN,2015,5199915.223,3.2865646136833373
JPN,2016,5158900.414,-0.7887591862764559
JPN,2017,5262254.967,2.003422138553425
JPN,2018,5344060.937,1.5545801279681652
JPN,2019,5352898.847,0.16537816660753674
JPN,2020,5263052.866,-1.6784546760182721
JPN,2021,5383426.681,2.287148126092934
JPN,2022,5703678.329,5.948843867982458
KOR,2006,1302227.991,7.301294355964388
KOR,2007,1414985.951,8.65884935505122
KOR,2008,1468996.086,3.8170085690129945
KOR,2009,1454994.406,-0.9531461746862636
KOR,2010,1572680.44,8.088418313822713
KOR,2011,1625275.456,3.3442913552100935
KOR,2012,1684562.928,3.647841464727076
KOR,2013,1726902.753,2.513401209076112
KOR,2014,1792600.237,3.8043534232526603
KOR,2015,1933588.947,7.865039125284906
KOR,2016,2026967.822,4.829303309003659
KOR,2017,2103651.26,3.783160105834174
KOR,2018,2220442.286,5.551824497754446
KOR,2019,2247126.568,1.2017552614740703
KOR,2020,2316806.899,3.1008636537112153
KOR,2021,2435555.581,5.125532130073286
KOR,2022,2598470.913,6.689041846177454
LUX,2006,37278.487,16.505415127704556
LUX,2007,40857.327,9.600282329054815
LUX,2008,44452.835,8.80015474335852
LUX,2009,43245.758,-2.7154106144186247
LUX,2010,45806.816,5.922102232547288
LUX,2011,48970.83,6.9072995599606895
LUX,2012,51308.749,4.774105319432
LUX,2013,54838.627,6.879680500493194
LUX,2014,58578.312,6.819435869537721
LUX,2015,61437.294,4.88061520106623
LUX,2016,65980.114,7.394238424628533
LUX,2017,68570.173,3.9255145876225583
LUX,2018,70825.278,3.2887550101412324
LUX,2019,74184.82,4.743422256669435
LUX,2020,75356.892,1.5799350864503008
LUX,2021,84252.097,11.804102801904286
LUX,2022,91837.052,9.002689867766737
MEX,2006,1485717.873,10.72775749148894
MEX,2007,1560834.849,5.055938100032537
MEX,2008,1653898.19,5.962407942110217
MEX,2009,1636084.571,-1.077068655598441
MEX,2010,1740490.338,6.381440718323356
MEX,2011,1911319.096,9.81497881776807
MEX,2012,2012767.781,5.3077837820127165
MEX,2013,2064490.947,2.5697532764709914
MEX,2014,2173227.412,5.266986767755493
MEX,2015,2230188.94,2.621056944407801
MEX,2016,2383253.082,6.863281368438676
MEX,2017,2460766.096,3.2524038082834195
MEX,2018,2535949.668,3.05529128193906
MEX,2019,2529761.704,-0.2440097324518411
MEX,2020,2333740.769,-7.74859286904598
MEX,2021,2480684.356,6.296482837850286
MEX,2022,2757080.197,11.141918976168204
NLD,2006,670372.239,9.173301586211744
NLD,2007,719889.129,7.386476813816872
NLD,2008,763407.575,6.045159490108094
NLD,2009,736551.017,-3.5179842170153948
NLD,2010,748383.899,1.6065257839430807
NLD,2011,777880.907,3.941427393001681
NLD,2012,792041.828,1.8204484610135794
NLD,2013,827475.788,4.473748575813848
NLD,2014,830318.43,0.34353174331187913
NLD,2015,851884.697,2.597348947198485
