LOCATION,TIME,Value,Change of Value(%)
AUS,2006,96.240525,-0.09198152210032537
AUS,2007,96.37142,0.13600819405338377
AUS,2008,97.755947,1.4366572579297945
AUS,2009,96.349381,-1.438854661190088
AUS,2010,96.647139,0.30903986814404316
AUS,2011,96.862811,0.22315404494280774
AUS,2012,97.637247,0.7995184034045931
AUS,2013,98.308476,0.6874722717243316
AUS,2014,98.228466,-0.08138667514284473
AUS,2015,100.0,1.8034833202017047
AUS,2016,99.806189,-0.19381099999999662
AUS,2017,100.717714,0.9132950663009459
AUS,2018,100.704068,-0.013548758662249099
AUS,2019,101.02576,0.31944290472952763
AUS,2020,102.457099,1.4168059710711347
AUS,2021,103.529277,1.046465311300678
AUS,2022,102.917533,-0.5908898600730955
AUT,2006,98.630096,2.096448059437519
AUT,2007,100.586371,1.9834463103432498
AUT,2008,100.134589,-0.4491483244782679
AUT,2009,97.973545,-2.15813938178745
AUT,2010,98.933104,0.9794062264461276
AUT,2011,99.598083,0.6721501429895522
AUT,2012,99.863452,0.26643986712072826
AUT,2013,99.561134,-0.3027313736360722
AUT,2014,99.383822,-0.17809359222445234
AUT,2015,100.0,0.619998293082354
AUT,2016,99.678641,-0.32135900000000106
AUT,2017,100.411321,0.7350421240193293
AUT,2018,100.555899,0.14398575634713107
AUT,2019,99.903695,-0.6485984477151336
AUT,2020,99.168515,-0.7358886976102332
AUT,2021,99.381929,0.21520338385625742
AUT,2022,101.355668,1.986013976444344
BEL,2006,100.491002,-0.07272175187229384
BEL,2007,101.602945,1.1065100137025312
BEL,2008,100.117406,-1.4621023042196295
BEL,2009,98.236132,-1.8790678615864305
BEL,2010,99.250335,1.032413409762519
BEL,2011,98.330242,-0.9270427147676715
BEL,2012,98.170227,-0.16273223450421423
BEL,2013,98.323205,0.15582932287607373
BEL,2014,99.093971,0.7839105732975189
BEL,2015,100.0,0.9143129403906962
BEL,2016,99.632842,-0.3671580000000034
BEL,2017,99.146236,-0.4883991967226979
BEL,2018,99.022295,-0.1250082756545615
BEL,2019,99.400103,0.3815383192239704
BEL,2020,99.596457,0.1975390307191125
BEL,2021,99.704958,0.10894062225527154
BEL,2022,100.81307,1.1113910704420449
CAN,2006,98.501622,0.3122776712997165
CAN,2007,97.855107,-0.6563495979792026
CAN,2008,96.885582,-0.9907760869343328
CAN,2009,95.844742,-1.0742981344737166
CAN,2010,96.646049,0.8360469059429556
CAN,2011,97.900613,1.298101694772853
CAN,2012,97.535449,-0.37299460014617797
CAN,2013,98.440479,0.9278985325632698
CAN,2014,100.495984,2.0880688725620797
CAN,2015,100.0,-0.49353613971281385
CAN,2016,100.398101,0.39810099999999693
CAN,2017,101.918903,1.5147716787989878
CAN,2018,102.216831,0.2923186879277918
CAN,2019,102.479174,0.25665342726189716
CAN,2020,106.129147,3.561672930736154
CAN,2021,103.292068,-2.6732326417360186
CAN,2022,102.883713,-0.3953401339587859
DNK,2006,99.39161,0.8252073258922236
DNK,2007,98.717818,-0.6779163754365242
DNK,2008,96.508022,-2.2384976134703436
DNK,2009,93.741612,-2.866507822531057
DNK,2010,96.196321,2.618590557200994
DNK,2011,96.447153,0.2607500966695001
DNK,2012,97.3828,0.9701136538473074
DNK,2013,97.760369,0.3877163112993198
DNK,2014,98.847185,1.1117142980505719
DNK,2015,100.0,1.1662598181222905
DNK,2016,101.083241,1.083241000000001
DNK,2017,102.561762,1.4626766864350942
DNK,2018,104.012731,1.4147270597788684
DNK,2019,104.449755,0.42016395089173636
DNK,2020,104.046913,-0.3856801770382253
DNK,2021,105.692315,1.58140395765513
DNK,2022,105.451876,-0.2274895767019532
FIN,2006,102.417369,2.171508590303719
FIN,2007,105.356384,2.8696450892035825
FIN,2008,103.786407,-1.490158394198503
FIN,2009,97.424397,-6.12990678056713
FIN,2010,100.281614,2.932753076213554
FIN,2011,101.617171,1.3318064465934845
FIN,2012,99.724293,-1.8627540811975527
FIN,2013,99.539645,-0.18515849493163106
FIN,2014,99.430132,-0.11001948017796592
FIN,2015,100.0,0.5731341078778811
FIN,2016,102.246799,2.2467989999999958
FIN,2017,104.644112,2.3446337914207085
FIN,2018,103.630474,-0.9686526844434402
FIN,2019,103.540797,-0.08653535638562156
FIN,2020,102.667595,-0.8433410069269527
FIN,2021,103.646288,0.9532637829881889
FIN,2022,105.021217,1.3265588440562335
FRA,2006,101.278549,1.6891576157535029
FRA,2007,100.62835,-0.6419908326293268
FRA,2008,99.318369,-1.3018011325834056
FRA,2009,97.329155,-2.00286615661198
FRA,2010,98.205246,0.9001321340969234
FRA,2011,98.941033,0.749233905488106
FRA,2012,98.676052,-0.2678170946527371
FRA,2013,99.263078,0.5949021957222148
FRA,2014,99.68265,0.42268687255497184
FRA,2015,100.0,0.3183603164643042
FRA,2016,99.888538,-0.11146200000000306
FRA,2017,101.353971,1.467068223583375
FRA,2018,101.42969,0.07470748235408785
FRA,2019,101.463881,0.03370906487046048
FRA,2020,99.060974,-2.368238802140832
FRA,2021,98.982898,-0.07881610370598195
FRA,2022,97.626417,-1.3704195648019946
DEU,2006,96.928551,1.5991087655420029
DEU,2007,97.911918,1.0145277009247784
DEU,2008,97.576708,-0.3423587310382415
DEU,2009,93.608598,-4.066656973096485
DEU,2010,95.870192,2.416010973692825
DEU,2011,98.223451,2.4546305279121525
DEU,2012,98.441747,0.22224427850738962
DEU,2013,98.624691,0.18583985511755696
DEU,2014,99.627372,1.016663261332799
