LOCATION,TIME,Value,(PLI)5MA
AUS,2006,106,96.2
AUS,2007,115,103.0
AUS,2008,117,108.2
AUS,2009,111,110.6
AUS,2010,136,117.0
AUS,2011,149,125.6
AUS,2012,158,134.2
AUS,2013,143,139.4
AUS,2014,135,144.2
AUS,2015,126,142.2
AUS,2016,125,137.4
AUS,2017,131,132.0
AUS,2018,126,128.6
AUS,2019,121,125.8
AUS,2020,118,124.2
AUS,2021,125,124.2
AUS,2022,123,122.6
AUT,2006,108,104.6
AUT,2007,115,108.6
AUT,2008,119,111.6
AUT,2009,116,113.2
AUT,2010,110,113.6
AUT,2011,111,114.2
AUT,2012,104,112.0
AUT,2013,108,109.8
AUT,2014,110,108.6
AUT,2015,101,106.8
AUT,2016,100,104.6
AUT,2017,101,104.0
AUT,2018,104,103.2
AUT,2019,99,101.0
AUT,2020,101,101.0
AUT,2021,103,101.6
AUT,2022,96,100.6
BEL,2006,110,104.6
BEL,2007,117,109.6
BEL,2008,120,113.0
BEL,2009,117,114.6
BEL,2010,109,114.6
BEL,2011,111,114.8
BEL,2012,105,112.4
BEL,2013,109,110.2
BEL,2014,110,108.8
BEL,2015,101,107.2
BEL,2016,100,105.0
BEL,2017,102,104.4
BEL,2018,104,103.4
BEL,2019,99,101.2
BEL,2020,98,100.6
BEL,2021,100,100.6
BEL,2022,95,99.2
CAN,2006,107,95.8
CAN,2007,109,100.0
CAN,2008,109,103.6
CAN,2009,104,105.6
CAN,2010,117,109.2
CAN,2011,120,111.8
CAN,2012,123,114.6
CAN,2013,121,117.0
CAN,2014,115,119.2
CAN,2015,111,118.0
CAN,2016,105,115.0
CAN,2017,108,112.0
CAN,2018,107,109.2
CAN,2019,110,108.2
CAN,2020,108,107.6
CAN,2021,114,109.4
CAN,2022,117,111.2
CZE,2006,64,56.0
CZE,2007,68,59.8
CZE,2008,77,64.8
CZE,2009,71,68.0
CZE,2010,70,70.0
CZE,2011,72,71.6
CZE,2012,67,71.4
CZE,2013,67,69.4
CZE,2014,63,67.8
CZE,2015,60,65.8
CZE,2016,60,63.4
CZE,2017,62,62.4
CZE,2018,65,62.0
CZE,2019,63,62.0
CZE,2020,63,62.6
CZE,2021,68,64.2
CZE,2022,69,65.6
DNK,2006,140,135.6
DNK,2007,145,140.4
DNK,2008,147,142.6
DNK,2009,142,143.0
DNK,2010,133,141.4
DNK,2011,133,140.0
DNK,2012,129,136.8
DNK,2013,134,134.2
DNK,2014,135,132.8
DNK,2015,124,131.0
DNK,2016,122,128.8
DNK,2017,121,127.2
DNK,2018,123,125.0
DNK,2019,117,121.4
DNK,2020,118,120.2
DNK,2021,121,120.0
DNK,2022,113,118.4
FIN,2006,120,116.6
FIN,2007,124,120.2
FIN,2008,127,122.2
FIN,2009,123,122.8
FIN,2010,117,122.2
FIN,2011,120,122.2
FIN,2012,116,120.6
FIN,2013,123,119.8
FIN,2014,125,120.2
FIN,2015,115,119.8
FIN,2016,113,118.4
FIN,2017,113,117.8
FIN,2018,116,116.4
FIN,2019,111,113.6
FIN,2020,111,112.8
FIN,2021,113,112.8
FIN,2022,107,111.6
FRA,2006,113,108.8
FRA,2007,118,113.4
FRA,2008,123,116.2
FRA,2009,119,117.0
FRA,2010,111,116.8
FRA,2011,112,116.6
FRA,2012,107,114.4
FRA,2013,110,111.8
FRA,2014,111,110.2
FRA,2015,102,108.4
FRA,2016,100,106.0
FRA,2017,101,104.8
FRA,2018,102,103.2
FRA,2019,95,100.0
FRA,2020,96,98.8
FRA,2021,98,98.4
FRA,2022,92,96.6
DEU,2006,107,104.8
DEU,2007,111,107.6
DEU,2008,114,109.4
DEU,2009,112,110.2
DEU,2010,105,109.8
DEU,2011,105,109.4
DEU,2012,100,107.2
DEU,2013,105,105.4
DEU,2014,106,104.2
DEU,2015,98,102.8
DEU,2016,96,101.0
DEU,2017,97,100.4
DEU,2018,100,99.4
DEU,2019,96,97.4
DEU,2020,98,97.4
DEU,2021,100,98.2
DEU,2022,96,98.0
GRC,2006,87,81.8
GRC,2007,95,86.8
GRC,2008,98,90.4
GRC,2009,97,92.8
GRC,2010,94,94.2
GRC,2011,95,95.8
GRC,2012,87,94.2
GRC,2013,86,91.8
GRC,2014,84,89.2
GRC,2015,77,85.8
GRC,2016,75,81.8
GRC,2017,75,79.4
GRC,2018,76,77.4
GRC,2019,73,75.2
GRC,2020,73,74.4
GRC,2021,74,74.2
GRC,2022,70,73.2
HUN,2006,63,59.6
HUN,2007,71,63.6
HUN,2008,72,66.8
HUN,2009,62,66.6
HUN,2010,60,65.6
HUN,2011,59,64.8
HUN,2012,55,61.6
HUN,2013,57,58.6
HUN,2014,58,57.8
HUN,2015,54,56.6
HUN,2016,54,55.6
HUN,2017,57,56.0
HUN,2018,59,56.4
HUN,2019,57,56.2
HUN,2020,56,56.6
HUN,2021,59,57.6
HUN,2022,55,57.2
ISL,2006,145,132.4
ISL,2007,162,142.6
ISL,2008,123,142.2
ISL,2009,97,135.4
ISL,2010,107,126.8
ISL,2011,111,120.0
ISL,2012,108,109.2
ISL,2013,114,107.4
ISL,2014,123,112.6
ISL,2015,122,115.6
ISL,2016,134,120.2
ISL,2017,150,128.6
ISL,2018,149,135.6
ISL,2019,135,138.0
ISL,2020,128,139.2
ISL,2021,136,139.6
ISL,2022,132,136.0
IRL,2006,123,118.2
IRL,2007,127,122.8
IRL,2008,131,125.4
IRL,2009,124,125.8
IRL,2010,111,123.2
IRL,2011,111,120.8
IRL,2012,105,116.4
IRL,2013,110,112.2
IRL,2014,113,110.0
IRL,2015,102,108.2
IRL,2016,102,106.4
IRL,2017,104,106.2
IRL,2018,107,105.6
IRL,2019,106,104.2
IRL,2020,107,105.2
IRL,2021,108,106.4
IRL,2022,102,106.0
ITA,2006,104,99.8
ITA,2007,107,103.8
ITA,2008,109,106.0
ITA,2009,106,106.2
ITA,2010,101,105.4
ITA,2011,101,104.8
ITA,2012,95,102.4
ITA,2013,100,100.6
ITA,2014,102,99.8
ITA,2015,93,98.2
ITA,2016,90,96.0
ITA,2017,90,95.0
ITA,2018,92,93.4
ITA,2019,87,90.4
ITA,2020,87,89.2
ITA,2021,88,88.8
ITA,2022,82,87.2
JPN,2006,107,119.8
JPN,2007,99,114.0
JPN,2008,107,110.4
JPN,2009,121,110.0
JPN,2010,125,111.8
JPN,2011,129,116.2
JPN,2012,129,122.2
JPN,2013,106,122.0
JPN,2014,101,118.0
JPN,2015,97,112.4
JPN,2016,112,109.0
JPN,2017,109,105.0
JPN,2018,108,105.4
JPN,2019,113,107.8
JPN,2020,113,111.0
JPN,2021,107,110.0
JPN,2022,92,106.6
KOR,2006,81,72.8
KOR,2007,80,75.0
KOR,2008,67,74.6
KOR,2009,64,73.6
KOR,2010,71,72.6
KOR,2011,74,71.2
KOR,2012,75,70.2
KOR,2013,81,73.0
KOR,2014,86,77.4
KOR,2015,86,80.4
KOR,2016,86,82.8
KOR,2017,89,85.6
KOR,2018,89,87.2
KOR,2019,87,87.4
KOR,2020,84,87.0
KOR,2021,86,87.0
KOR,2022,80,85.2
LUX,2006,116,112.6
LUX,2007,122,116.8
LUX,2008,125,119.2
LUX,2009,124,120.6
LUX,2010,121,121.6
LUX,2011,120,122.4
LUX,2012,115,121.0
LUX,2013,121,120.2
LUX,2014,122,119.8
LUX,2015,111,117.8
LUX,2016,109,115.6
LUX,2017,111,114.8
LUX,2018,115,113.6
LUX,2019,111,111.4
LUX,2020,115,112.2
LUX,2021,117,113.8
LUX,2022,111,113.8
MEX,2006,66,66.2
MEX,2007,65,64.0
MEX,2008,63,63.8
MEX,2009,54,62.4
MEX,2010,60,61.6
MEX,2011,59,60.2
MEX,2012,59,59.0
MEX,2013,63,59.0
MEX,2014,63,60.8
MEX,2015,60,60.8
MEX,2016,52,59.4
MEX,2017,55,58.6
MEX,2018,55,57.0
MEX,2019,59,56.2
MEX,2020,55,55.2
MEX,2021,59,56.6
MEX,2022,64,58.4
NLD,2006,110,107.0
NLD,2007,114,110.8
NLD,2008,118,112.8
NLD,2009,117,113.8
NLD,2010,111,114.0
NLD,2011,111,114.2
NLD,2012,105,112.4
NLD,2013,108,110.4
NLD,2014,111,109.2
NLD,2015,102,107.4
NLD,2016,102,105.6
NLD,2017,102,105.0
NLD,2018,105,104.4
NLD,2019,103,102.8
NLD,2020,103,103.0
NLD,2021,105,103.6
NLD,2022,100,103.2
NZL,2006,96,93.6
NZL,2007,107,99.8
NZL,2008,99,101.6
NZL,2009,91,100.0
NZL,2010,106,99.8
NZL,2011,112,103.0
NZL,2012,120,105.6
NZL,2013,121,110.0
NZL,2014,124,116.6
NZL,2015,117,118.8
